Feature,Importance
u_in_norm,4.23185586744997e-06
u_out_norm,2.409175597980114e-06
u_in_cumsum,2.399110652125576e-06
u_in_diff,2.2687055282707055e-06
u_in_lag1,2.2076059015792756e-06
t_norm,1.9347180833998816e-06
C_norm,1.6194679725837584e-06
R_norm,1.4763554228617673e-06
u_in_roll_mean,1.1544299961011953e-06
u_in_roll_max,7.163207991804181e-07
