Feature,Importance
u_in_norm,1.6732361473259516e-05
u_in_roll_mean,2.199063601437956e-06
R_norm,1.8024943528871518e-06
t_norm,1.6464490499856765e-06
C_norm,1.2803617437384673e-06
u_in_roll_max,1.2758980574290035e-06
u_out_norm,6.596134767278272e-07
u_in_lag1,4.974659759682254e-07
u_in_cumsum,2.0809216039197054e-07
u_in_diff,3.5487047966853424e-08
